system:index,NDVI,day,month,name,year,.geo
LC08_035038_20150218_00000000000000000032_0,0.16501503,18,2,D-20-21 14BCC2 [BOQSUD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000037_0,0.16702037,18,2,D-19-21 05AAA1 [STD-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000033_0,0.13156974,18,2,D-21-21 02DDC [CHB-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000002a_0,0.15085383,18,2,D-22-22 06AAB [LSPUWD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000002f_0,0.21839756,18,2,D-20-21 03CAB [FBK-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000004_0,0.26930192,18,2,D-24-22 08DBA1 [PLS-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000000c_0,0.27066967,18,2,D-23-22 22CBB1 [KOL-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000015_0,0.17731202,18,2,D-23-22 04DCA1 [HERUWS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000014_0,0.1505075,18,2,D-23-22 04DCD4 [HERUED],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000016_0,0.1505075,18,2,D-23-22 04DCD3 [HERUES],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150306_00000000000000000027_0,0.16145138,6,3,D-22-22 06AAA3 [LSP-3],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
