My Generated Report

site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,lev_timestamp,ObjectId
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",17.51,null,null,"1","USGS","m","2","S","S","A","7/24/2002",78
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",17.34,null,null,"1","USGS","m","2","S","V","A","11/1/2002",79
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",16.61,null,null,"1","USGS","m","2","S","V","A","8/12/2003",80
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.59,null,null,"1",null,"m","2",null,"O","A","12/17/2008",81
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.59,null,null,"1","USGS","m","2","S","V","A","2/12/2004",82
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.84,null,null,"1",null,"m","2",null,"O","A","4/22/2004",83
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.47,null,null,"1",null,"m","2",null,"O","A","9/25/2006",84
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.86,null,null,"1",null,"m","2",null,"O","A","11/6/2006",85
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.85,null,null,"1",null,"m","2",null,"O","A","12/12/2006",86
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.85,null,null,"1",null,"m","2",null,"O","A","12/19/2006",87
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.85,null,null,"1",null,"m","2",null,"O","A","1/23/2007",88
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.83,null,null,"1",null,"m","2",null,"O","A","2/23/2007",89
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.91,null,null,"1",null,"m","2",null,"O","A","3/21/2007",90
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15,null,null,"1",null,"m","2",null,"O","A","4/11/2007",91
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.13,null,null,"1",null,"m","2",null,"O","A","5/10/2007",92
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",16.01,null,null,"1",null,"m","2",null,"O","A","6/13/2007",93
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",16.33,null,null,"1",null,"m","2",null,"O","A","7/18/2007",94
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",13.02,null,null,"1",null,"m","2",null,"O","A","8/10/2007",95
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.18,null,null,"1",null,"m","2",null,"O","A","9/10/2007",96
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.31,null,null,"1",null,"m","2",null,"O","A","10/22/2007",97
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.08,null,null,"1",null,"m","2",null,"O","A","11/14/2007",98
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.88,null,null,"1",null,"m","2",null,"O","A","12/17/2007",99
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.81,null,null,"1",null,"m","2",null,"O","A","1/28/2008",100
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.85,null,null,"1",null,"m","2",null,"O","A","2/22/2008",101
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.83,null,null,"1",null,"m","2",null,"O","A","3/12/2008",102
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.88,null,null,"1",null,"m","2",null,"O","A","4/22/2008",103
312127110073101,"D-24-22 08DBA1 [PLS-LI]",31.3575222,-110.1260028,"PLS-LI","USGS","GW",4.83,null,null,"1","USGS","m","2","S","T","A","6/21/2001",104
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",13.53,null,null,"1",null,"D","2",null,"S","A","3/9/1955",105
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",17.08,null,null,"1","USGS","m","2","S","T","A","12/19/2001",106
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.78,null,null,"1",null,"m","2",null,"O","A","3/26/2009",107
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",16.44,null,null,"1",null,"D","2",null,"S","A","4/27/1955",108
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",17.68,null,null,"1","USGS","m","2","S","T","A","6/13/2002",109
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",16.48,null,null,"1",null,"m","2",null,"O","A","6/22/2009",110
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",16.66,null,null,"1",null,"D","2",null,"S","A","5/25/1955",111
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",18.31,null,null,"1","USGS","m","2","S","T","A","11/1/2002",112
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",16.73,null,null,"1",null,"m","2",null,"O","A","7/3/2009",113
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",17.57,null,null,"1",null,"D","2",null,"S","A","6/23/1955",114
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",17.62,null,null,"1","USGS","m","2","S","T","A","3/13/2003",115
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",16.63,null,null,"1",null,"m","2",null,"O","A","9/24/2009",116
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",13.9,null,null,"1",null,"D","2",null,"S","A","7/24/1955",117
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",18.34,null,null,"1","USGS","m","2","S","T","A","8/12/2003",118
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.41,null,null,"1",null,"m","2",null,"O","A","1/26/2010",119
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",12.65,null,null,"1",null,"D","2",null,"S","A","8/16/1955",120
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",18.23,null,null,"1","USGS","m","2","S","V","A","12/30/2003",121
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",15.1,null,null,"1",null,"m","2",null,"O","A","2/16/2010",122
312250110063901,"D-23-22 33DCD2 [PALO DEEP]",31.38010095,-110.1103549,"PALO DEEP","USGS","GW",13.01,null,null,"1",null,"D","2",null,"S","A","9/14/1955",123
312207110070702,"D-24-22 04CBA4 [PAL-UD]",31.36890556,-110.1192944,"PAL-UD","USGS","GW",14.57,null,null,"1",null,"m","2",null,"O","A","3/15/2010",124
312214110071602,"D-24-22 04CBC2 [PALUWD]",31.37070278,-110.1221194,"PALUWD","USGS","GW",16.56,null,null,"1",null,"m","2",null,"O","A","4/22/2004",125
